State,Food and beverages purchased for off-premises consumption (Millions of current dollars)
Alabama,64556
Alaska,13738
Arizona,90674.6
Arkansas,34796.6
California,545030
Colorado,81255
Connecticut,57666.8
Delaware,15453.6
District of Columbia,11767
Florida,298860.4
Georgia,137532.4
Hawaii,24873.8
Idaho,22813.4
Illinois,172487.4
Indiana,92325
Iowa,42331
Kansas,43251
Kentucky,65077.2
Louisiana,64522.8
Maine,25688.2
Maryland,82486.2
Massachusetts,113559
Michigan,144344.4
Minnesota,75800.2
Mississippi,39131
Missouri,80376.8
Montana,16504.6
Nebraska,25944.8
Nevada,41395.4
New Hampshire,24685.4
New Jersey,140854
New Mexico,28038.8
New York,263574.8
North Carolina,133428.4
North Dakota,10005.8
Ohio,167752.8
Oklahoma,42806.4
Oregon,64948.2
Pennsylvania,184496.2
Rhode Island,15865.4
South Carolina,67814.2
South Dakota,11133.6
Tennessee,86078.6
Texas,347383.6
Utah,38091.2
Vermont,11848.4
Virginia,118873.2
Washington,112064
West Virginia,25541.8
Wisconsin,82055
Wyoming,9055.4
