State,Obesity
Alabama,2.9922
Alaska,2.8582
Arizona,3.1174
Arkansas,2.9723
California,2.9646
Colorado,2.9961
Connecticut,3.047
Delaware,2.9935
District of Columbia,3.0152
Florida,2.9991
Georgia,2.9406
Hawaii,3.0372
Idaho,3.033
Illinois,3.0026
Indiana,3.0124
Iowa,2.9691
Kansas,3.0396
Kentucky,3.0109
Louisiana,2.9439
Maine,3.0268
Maryland,2.933
Massachusetts,3.0702
Michigan,2.997
Minnesota,3.0349
Mississippi,2.9734
Missouri,2.9349
Montana,3.0415
Nebraska,2.9394
Nevada,3.0285
New Hampshire,3.0124
New Jersey,2.9911
New Mexico,2.9886
New York,3.0519
North Carolina,3.0051
North Dakota,2.9938
Ohio,2.9833
Oklahoma,3.0166
Oregon,3.0138
Pennsylvania,2.9563
Rhode Island,3.0423
South Carolina,2.9525
South Dakota,3.0231
Tennessee,3.0291
Texas,2.9359
Utah,2.9864
Vermont,3.0392
Virginia,3.0145
Washington,3.0543
West Virginia,2.9613
Wisconsin,2.938
Wyoming,3.0683
